날짜,예측_위반_건수,예측_하한,예측_상한
2023-11-15,133.48777624212488,93.4969271841469,177.72634983956482
2023-11-16,130.96604445035666,89.45119833054835,170.16649990341247
2023-11-17,134.38793869815447,92.0633149115042,174.86387924830018
2023-11-18,132.37646182763936,92.10343677492595,174.91771556559365
2023-11-19,132.06541827679214,93.29326363473203,173.95864325087433
2023-11-20,130.54276358862506,91.35379609767948,174.26604179445607
2023-11-21,130.85827991714854,86.83627232760382,172.30984252389928
2023-11-22,129.44490267003835,90.25995395097532,171.90334578550053
2023-11-23,126.82914855892855,84.84176566514145,167.52816164647558
2023-11-24,130.18988169828464,87.73028559884472,172.15099949532583
2023-11-25,128.1477642760606,90.20370223877005,170.75623980504358
2023-11-26,127.83391071299539,84.66311949814724,169.4878103566346
2023-11-27,126.33333927433758,84.27204702463774,169.24939865767195
2023-11-28,126.69275180232714,86.37143065693726,166.59141046475003
2023-11-29,125.34196353692779,82.79706623302567,166.36238544145186
2023-11-30,122.80443022299599,79.99701372752115,162.10313009967064
2023-12-01,126.25610626352194,84.552238677709,166.17550373610143
2023-12-02,124.31497783633938,82.17478438584445,165.04900036617698
2023-12-03,124.10978763460108,84.49432839024179,163.78618453518158
2023-12-04,122.72354335186196,79.13294160683245,163.4907002640345
2023-12-05,123.20133919818379,79.38148130174828,166.38856683696864
2023-12-06,121.97181152997189,81.7880253194386,164.3607963246135
2023-12-07,119.55767542166973,76.08234106144401,159.75899490522252
2023-12-08,123.13457608675213,82.63300979222302,164.41232454213082
2023-12-09,121.32340454877149,81.99022660065857,161.2738303152195
2023-12-10,121.25057118790735,77.31681907692929,161.2817113580688
2023-12-11,119.99987916478524,80.23502155038099,163.78190734848852
2023-12-12,120.6174806177734,77.38345538665322,163.5474845493609
2023-12-13,119.53326311922388,78.38400775478951,161.02356745910157
2023-12-14,117.27131086016952,76.89367430003024,159.7007026107547
2023-12-15,121.00867709442295,78.87295287982853,163.27832976819957
2023-12-16,119.36481509964835,79.45909214007395,161.5911584807954
2023-12-17,119.47018810983784,80.93633389918848,157.75042361744633
2023-12-18,118.40965445960563,78.25031705851329,158.80491633286502
2023-12-19,119.23016153699649,76.71045040736952,160.59190198945234
2023-12-20,118.36207398825351,75.60737772576145,156.8811477628818
2023-12-21,116.32958727520702,72.44296737524188,157.5416789634525
2023-12-22,120.30946454364226,79.07203592780911,160.40632393831342
2023-12-23,118.92044507568906,78.12347196164436,156.7744515311645
2023-12-24,119.2918453603296,77.64159591547171,163.19667653331607
2023-12-25,118.50694915526924,75.86624995082214,160.00981253820797
2023-12-26,119.61071982727661,78.09371334359365,159.568924969544
2023-12-27,119.03115968061604,78.58820313796393,158.6114882850061
2023-12-28,117.28976624912485,75.09991271568704,156.61186990976478
2023-12-29,121.56032203733861,83.57217060259366,164.23560957445554
2023-12-30,120.45836421934017,82.10340270007651,159.46708677098366
2023-12-31,121.10985333714751,79.74758680418509,162.93199940346312
2024-01-01,120.59463522214611,75.44287074751539,161.83083140993656
2024-01-02,121.95422719519294,83.13395761544814,165.06778859643566
2024-01-03,121.61325101580245,81.11545805339517,163.89990271571764
2024-01-04,120.08996038972207,79.43457471797824,161.01710315175814
2024-01-05,124.55509749004554,81.48904184908918,165.34677743550807
2024-01-06,123.62142318101127,82.64465754145411,166.32004645752707
2024-01-07,124.4124384289795,83.49939490966663,165.13941620678983
2024-01-08,124.00588987946878,84.25684750639756,166.01860014310526
2024-01-09,125.44158975802583,84.5629575638902,165.9633309930158
2024-01-10,125.14287203994876,82.67353563177677,164.50380068288655
2024-01-11,123.62713254901958,82.99967533161669,160.69636748637188
2024-01-12,128.06468767245065,85.60829766846032,170.41482552329856
2024-01-13,127.06829696726372,82.89943416585531,167.8912930111208
2024-01-14,127.76186805815868,87.78749766175869,163.98318188012883
2024-01-15,127.22393800620975,87.68512851241364,169.86588047717802
2024-01-16,128.4954627393486,87.9481694092907,170.51808514219547
2024-01-17,128.00123809506084,87.57004310734341,167.71511376278318
2024-01-18,126.26040184607723,85.01180343881397,171.13864064146063
2024-01-19,130.445253141639,89.92799376739362,174.26812113103264
2024-01-20,129.17073634835597,90.53845993632267,169.07418297102004
2024-01-21,129.56310929240792,88.85149639090511,171.9269991349876
2024-01-22,128.70339151153803,86.94643230045122,166.67019359056965
2024-01-23,129.6351253043433,86.89022456737565,168.03490503054033
2024-01-24,128.78577404125141,85.27177720665794,169.50886986179856
2024-01-25,126.67720769684513,84.25858802232679,169.93437376541587
2024-01-26,130.48451228427177,86.6452464661678,172.42434120002062
2024-01-27,128.82547003545977,88.52897687671606,174.24766076901727
2024-01-28,128.82922985550428,89.45573473753973,170.90485939367045
2024-01-29,127.5797628128011,87.57079824184747,167.97639825397047
2024-01-30,128.123634294166,86.4592819712656,170.0016667560881
2024-01-31,126.89141585049157,81.84700073726255,168.69373354918855
2024-02-01,124.40818503183615,85.66895550701089,166.32591179605487
2024-02-02,127.85234806288915,84.63026413367916,168.1469843162997
2024-02-03,125.84513031100353,83.48391962354677,171.01365711503888
2024-02-04,125.51925214649468,84.2952925413346,169.14238785259974
2024-02-05,123.96238312724623,83.25634327318292,164.25362177640127
2024-02-06,124.22490445841504,82.12071413523668,164.87980797845628
2024-02-07,122.74130131492007,85.63453979734196,163.23284475938877
2024-02-08,120.04063220298788,81.21000076902791,162.2388745188758
2024-02-09,123.3053094696686,82.18705816235584,161.9712327407889
2024-02-10,121.16053560703409,79.80469330907118,161.37477710508784
2024-02-11,120.74291312317885,77.63384927020154,160.54328489373825
